Tactic,Police Force,Force type - Output,Tactic - Output,ethnicity,count
Dog bite,Cambridgeshire,Other,Dog: bite,White,1.0
Not stated dog,Cambridgeshire,Other,Dog: not stated,White,0.0
Other / improvised,Cambridgeshire,Other,Other / improvised,White,368.0
*Total Not reported,Cambridgeshire,Not reported,Total: Not reported,White,18.0
Tactical communication,Cambridgeshire,Excluded: Tactical Communication,Tactical Communication,White,3116.0
*Total Tactics,Cheshire,Total,Total: all,White,10133.0
*Total Restraint,Cheshire,Restraint,Total: Restraint,White,7720.0
"Handcuffing, of which",Cheshire,Restraint,Total: Handcuffing,White,5194.0
Compliant handcuffing,Cheshire,Restraint,Handcuffing: compliant,White,3271.0
Non-compliant handcuffing,Cheshire,Restraint,Handcuffing: non-compliant,White,1923.0
Not stated handcuffing,Cheshire,Restraint,Handcuffing: not stated,White,0.0
Limb / Body restraints,Cheshire,Restraint,Limb / body restraints,White,292.0
Ground restraint,Cheshire,Restraint,Ground restraint,White,2234.0
*Total Unarmed skills,Cheshire,Unarmed skills,Total: unarmed skills,White,1254.0
*Total Other equipment,Cheshire,Other equipment,Total: Other equipment,White,825.0
"Baton, of which",Cheshire,Other equipment,Total: Baton,White,37.0
Baton drawn,Cheshire,Other equipment,Baton: drawn,White,22.0
Baton used,Cheshire,Other equipment,Baton: used,White,15.0
Not stated baton,Cheshire,Other equipment,Baton: not stated,White,0.0
"Irritant spray, of which",Cheshire,Other equipment,Total: Irritant spray,White,707.0
Irritant spray - drawn,Cheshire,Other equipment,Irritant spray: drawn,White,244.0
Irritant spray - used,Cheshire,Other equipment,Irritant spray: used,White,463.0
Not stated irritant spray,Cheshire,Other equipment,Irritant spray: not stated,White,0.0
Spit and bite guard,Cheshire,Other equipment,Spit and bite guard,White,80.0
Shield,Cheshire,Other equipment,Shield,White,1.0
*Total Less lethal weapons,Cheshire,Less lethal weapons,Total: Less lethal weapons,White,327.0
CED,Cheshire,Less lethal weapons,CED,White,327.0
"AEP, of which",Cheshire,Less lethal weapons,Total: AEP,White,0.0
AEP aimed,Cheshire,Less lethal weapons,AEP: Aimed,White,0.0
AEP fired,Cheshire,Less lethal weapons,AEP: Fired,White,0.0
Not stated AEP,Cheshire,Less lethal weapons,AEP: Not stated,White,0.0
*Total Firearms,Cheshire,Firearms,Total: Firearms,White,1.0
*Total Other,Cheshire,Other,Total: Other,White,6.0
"Dog use, of which",Cheshire,Other,Total: Dog,White,6.0
Dog deployed,Cheshire,Other,Dog: deployed,White,4.0
Dog bite,Cheshire,Other,Dog: bite,White,2.0
Not stated dog,Cheshire,Other,Dog: not stated,White,0.0
Other / improvised,Cheshire,Other,Other / improvised,White,0.0
*Total Not reported,Cheshire,Not reported,Total: Not reported,White,6.0
Tactical communication,Cheshire,Excluded: Tactical Communication,Tactical Communication,White,3711.0
*Total Tactics,City of London,Total,Total: all,White,1546.0
*Total Restraint,City of London,Restraint,Total: Restraint,White,1005.0
"Handcuffing, of which",City of London,Restraint,Total: Handcuffing,White,927.0
Compliant handcuffing,City of London,Restraint,Handcuffing: compliant,White,408.0
Non-compliant handcuffing,City of London,Restraint,Handcuffing: non-compliant,White,519.0
Not stated handcuffing,City of London,Restraint,Handcuffing: not stated,White,0.0
Limb / Body restraints,City of London,Restraint,Limb / body restraints,White,10.0
Ground restraint,City of London,Restraint,Ground restraint,White,68.0
*Total Unarmed skills,City of London,Unarmed skills,Total: unarmed skills,White,405.0
*Total Other equipment,City of London,Other equipment,Total: Other equipment,White,45.0
"Baton, of which",City of London,Other equipment,Total: Baton,White,9.0
Baton drawn,City of London,Other equipment,Baton: drawn,White,6.0
