Tactic,Police Force,Force type - Output,Tactic - Output,ethnicity,count
Dog deployed,Cumbria,Other,Dog: deployed,Mixed,0.0
Dog bite,Cumbria,Other,Dog: bite,Mixed,0.0
Not stated dog,Cumbria,Other,Dog: not stated,Mixed,0.0
Other / improvised,Cumbria,Other,Other / improvised,Mixed,1.0
*Total Not reported,Cumbria,Not reported,Total: Not reported,Mixed,0.0
Tactical communication,Cumbria,Excluded: Tactical Communication,Tactical Communication,Mixed,6.0
*Total Tactics,Derbyshire,Total,Total: all,Mixed,0.0
*Total Restraint,Derbyshire,Restraint,Total: Restraint,Mixed,0.0
"Handcuffing, of which",Derbyshire,Restraint,Total: Handcuffing,Mixed,0.0
Compliant handcuffing,Derbyshire,Restraint,Handcuffing: compliant,Mixed,0.0
Non-compliant handcuffing,Derbyshire,Restraint,Handcuffing: non-compliant,Mixed,0.0
Not stated handcuffing,Derbyshire,Restraint,Handcuffing: not stated,Mixed,0.0
Limb / Body restraints,Derbyshire,Restraint,Limb / body restraints,Mixed,0.0
Ground restraint,Derbyshire,Restraint,Ground restraint,Mixed,0.0
*Total Unarmed skills,Derbyshire,Unarmed skills,Total: unarmed skills,Mixed,0.0
*Total Other equipment,Derbyshire,Other equipment,Total: Other equipment,Mixed,0.0
"Baton, of which",Derbyshire,Other equipment,Total: Baton,Mixed,0.0
Baton drawn,Derbyshire,Other equipment,Baton: drawn,Mixed,0.0
Baton used,Derbyshire,Other equipment,Baton: used,Mixed,0.0
Not stated baton,Derbyshire,Other equipment,Baton: not stated,Mixed,0.0
"Irritant spray, of which",Derbyshire,Other equipment,Total: Irritant spray,Mixed,0.0
Irritant spray - drawn,Derbyshire,Other equipment,Irritant spray: drawn,Mixed,0.0
Irritant spray - used,Derbyshire,Other equipment,Irritant spray: used,Mixed,0.0
Not stated irritant spray,Derbyshire,Other equipment,Irritant spray: not stated,Mixed,0.0
Spit and bite guard,Derbyshire,Other equipment,Spit and bite guard,Mixed,0.0
Shield,Derbyshire,Other equipment,Shield,Mixed,0.0
*Total Less lethal weapons,Derbyshire,Less lethal weapons,Total: Less lethal weapons,Mixed,0.0
CED,Derbyshire,Less lethal weapons,CED,Mixed,0.0
"AEP, of which",Derbyshire,Less lethal weapons,Total: AEP,Mixed,0.0
AEP aimed,Derbyshire,Less lethal weapons,AEP: Aimed,Mixed,0.0
AEP fired,Derbyshire,Less lethal weapons,AEP: Fired,Mixed,0.0
Not stated AEP,Derbyshire,Less lethal weapons,AEP: Not stated,Mixed,0.0
*Total Firearms,Derbyshire,Firearms,Total: Firearms,Mixed,0.0
*Total Other,Derbyshire,Other,Total: Other,Mixed,0.0
"Dog use, of which",Derbyshire,Other,Total: Dog,Mixed,0.0
Dog deployed,Derbyshire,Other,Dog: deployed,Mixed,0.0
Dog bite,Derbyshire,Other,Dog: bite,Mixed,0.0
Not stated dog,Derbyshire,Other,Dog: not stated,Mixed,0.0
Other / improvised,Derbyshire,Other,Other / improvised,Mixed,0.0
*Total Not reported,Derbyshire,Not reported,Total: Not reported,Mixed,0.0
Tactical communication,Derbyshire,Excluded: Tactical Communication,Tactical Communication,Mixed,0.0
*Total Tactics,Devon & Cornwall ,Total,Total: all,Mixed,164.0
*Total Restraint,Devon & Cornwall ,Restraint,Total: Restraint,Mixed,102.0
"Handcuffing, of which",Devon & Cornwall ,Restraint,Total: Handcuffing,Mixed,88.0
Compliant handcuffing,Devon & Cornwall ,Restraint,Handcuffing: compliant,Mixed,37.0
Non-compliant handcuffing,Devon & Cornwall ,Restraint,Handcuffing: non-compliant,Mixed,51.0
Not stated handcuffing,Devon & Cornwall ,Restraint,Handcuffing: not stated,Mixed,0.0
Limb / Body restraints,Devon & Cornwall ,Restraint,Limb / body restraints,Mixed,1.0
Ground restraint,Devon & Cornwall ,Restraint,Ground restraint,Mixed,13.0
*Total Unarmed skills,Devon & Cornwall ,Unarmed skills,Total: unarmed skills,Mixed,41.0
*Total Other equipment,Devon & Cornwall ,Other equipment,Total: Other equipment,Mixed,10.0
"Baton, of which",Devon & Cornwall ,Other equipment,Total: Baton,Mixed,0.0
Baton drawn,Devon & Cornwall ,Other equipment,Baton: drawn,Mixed,0.0
Baton used,Devon & Cornwall ,Other equipment,Baton: used,Mixed,0.0
Not stated baton,Devon & Cornwall ,Other equipment,Baton: not stated,Mixed,0.0
"Irritant spray, of which",Devon & Cornwall ,Other equipment,Total: Irritant spray,Mixed,8.0
Irritant spray - drawn,Devon & Cornwall ,Other equipment,Irritant spray: drawn,Mixed,7.0
Irritant spray - used,Devon & Cornwall ,Other equipment,Irritant spray: used,Mixed,1.0
Not stated irritant spray,Devon & Cornwall ,Other equipment,Irritant spray: not stated,Mixed,0.0
Spit and bite guard,Devon & Cornwall ,Other equipment,Spit and bite guard,Mixed,0.0
Shield,Devon & Cornwall ,Other equipment,Shield,Mixed,2.0
*Total Less lethal weapons,Devon & Cornwall ,Less lethal weapons,Total: Less lethal weapons,Mixed,11.0
CED,Devon & Cornwall ,Less lethal weapons,CED,Mixed,10.0
"AEP, of which",Devon & Cornwall ,Less lethal weapons,Total: AEP,Mixed,1.0
AEP aimed,Devon & Cornwall ,Less lethal weapons,AEP: Aimed,Mixed,0.0
AEP fired,Devon & Cornwall ,Less lethal weapons,AEP: Fired,Mixed,0.0
Not stated AEP,Devon & Cornwall ,Less lethal weapons,AEP: Not stated,Mixed,1.0
*Total Firearms,Devon & Cornwall ,Firearms,Total: Firearms,Mixed,0.0
*Total Other,Devon & Cornwall ,Other,Total: Other,Mixed,0.0
"Dog use, of which",Devon & Cornwall ,Other,Total: Dog,Mixed,0.0
Dog deployed,Devon & Cornwall ,Other,Dog: deployed,Mixed,0.0
Dog bite,Devon & Cornwall ,Other,Dog: bite,Mixed,0.0
Not stated dog,Devon & Cornwall ,Other,Dog: not stated,Mixed,0.0
Other / improvised,Devon & Cornwall ,Other,Other / improvised,Mixed,0.0
*Total Not reported,Devon & Cornwall ,Not reported,Total: Not reported,Mixed,0.0
Tactical communication,Devon & Cornwall ,Excluded: Tactical Communication,Tactical Communication,Mixed,123.0
*Total Tactics,Dorset,Total,Total: all,Mixed,0.0
*Total Restraint,Dorset,Restraint,Total: Restraint,Mixed,0.0
"Handcuffing, of which",Dorset,Restraint,Total: Handcuffing,Mixed,0.0
Compliant handcuffing,Dorset,Restraint,Handcuffing: compliant,Mixed,0.0
Non-compliant handcuffing,Dorset,Restraint,Handcuffing: non-compliant,Mixed,0.0
Not stated handcuffing,Dorset,Restraint,Handcuffing: not stated,Mixed,0.0
Limb / Body restraints,Dorset,Restraint,Limb / body restraints,Mixed,0.0
Ground restraint,Dorset,Restraint,Ground restraint,Mixed,0.0
*Total Unarmed skills,Dorset,Unarmed skills,Total: unarmed skills,Mixed,0.0
*Total Other equipment,Dorset,Other equipment,Total: Other equipment,Mixed,0.0
"Baton, of which",Dorset,Other equipment,Total: Baton,Mixed,0.0
Baton drawn,Dorset,Other equipment,Baton: drawn,Mixed,0.0
Baton used,Dorset,Other equipment,Baton: used,Mixed,0.0
Not stated baton,Dorset,Other equipment,Baton: not stated,Mixed,0.0
"Irritant spray, of which",Dorset,Other equipment,Total: Irritant spray,Mixed,0.0
Irritant spray - drawn,Dorset,Other equipment,Irritant spray: drawn,Mixed,0.0
Irritant spray - used,Dorset,Other equipment,Irritant spray: used,Mixed,0.0
Not stated irritant spray,Dorset,Other equipment,Irritant spray: not stated,Mixed,0.0
Spit and bite guard,Dorset,Other equipment,Spit and bite guard,Mixed,0.0
Shield,Dorset,Other equipment,Shield,Mixed,0.0
*Total Less lethal weapons,Dorset,Less lethal weapons,Total: Less lethal weapons,Mixed,0.0
CED,Dorset,Less lethal weapons,CED,Mixed,0.0
"AEP, of which",Dorset,Less lethal weapons,Total: AEP,Mixed,0.0
AEP aimed,Dorset,Less lethal weapons,AEP: Aimed,Mixed,0.0
AEP fired,Dorset,Less lethal weapons,AEP: Fired,Mixed,0.0
Not stated AEP,Dorset,Less lethal weapons,AEP: Not stated,Mixed,0.0
*Total Firearms,Dorset,Firearms,Total: Firearms,Mixed,0.0
*Total Other,Dorset,Other,Total: Other,Mixed,0.0
"Dog use, of which",Dorset,Other,Total: Dog,Mixed,0.0
Dog deployed,Dorset,Other,Dog: deployed,Mixed,0.0
Dog bite,Dorset,Other,Dog: bite,Mixed,0.0
Not stated dog,Dorset,Other,Dog: not stated,Mixed,0.0
Other / improvised,Dorset,Other,Other / improvised,Mixed,0.0
*Total Not reported,Dorset,Not reported,Total: Not reported,Mixed,0.0
Tactical communication,Dorset,Excluded: Tactical Communication,Tactical Communication,Mixed,0.0
*Total Tactics,Durham,Total,Total: all,Mixed,44.0
*Total Restraint,Durham,Restraint,Total: Restraint,Mixed,27.0
"Handcuffing, of which",Durham,Restraint,Total: Handcuffing,Mixed,19.0
Compliant handcuffing,Durham,Restraint,Handcuffing: compliant,Mixed,16.0
Non-compliant handcuffing,Durham,Restraint,Handcuffing: non-compliant,Mixed,3.0
Not stated handcuffing,Durham,Restraint,Handcuffing: not stated,Mixed,0.0
Limb / Body restraints,Durham,Restraint,Limb / body restraints,Mixed,0.0
Ground restraint,Durham,Restraint,Ground restraint,Mixed,8.0
*Total Unarmed skills,Durham,Unarmed skills,Total: unarmed skills,Mixed,12.0
*Total Other equipment,Durham,Other equipment,Total: Other equipment,Mixed,2.0
"Baton, of which",Durham,Other equipment,Total: Baton,Mixed,0.0
Baton drawn,Durham,Other equipment,Baton: drawn,Mixed,0.0
Baton used,Durham,Other equipment,Baton: used,Mixed,0.0
Not stated baton,Durham,Other equipment,Baton: not stated,Mixed,0.0
"Irritant spray, of which",Durham,Other equipment,Total: Irritant spray,Mixed,2.0
Irritant spray - drawn,Durham,Other equipment,Irritant spray: drawn,Mixed,0.0
Irritant spray - used,Durham,Other equipment,Irritant spray: used,Mixed,2.0
Not stated irritant spray,Durham,Other equipment,Irritant spray: not stated,Mixed,0.0
Spit and bite guard,Durham,Other equipment,Spit and bite guard,Mixed,0.0
Shield,Durham,Other equipment,Shield,Mixed,0.0
*Total Less lethal weapons,Durham,Less lethal weapons,Total: Less lethal weapons,Mixed,0.0
CED,Durham,Less lethal weapons,CED,Mixed,0.0
"AEP, of which",Durham,Less lethal weapons,Total: AEP,Mixed,0.0
AEP aimed,Durham,Less lethal weapons,AEP: Aimed,Mixed,0.0
AEP fired,Durham,Less lethal weapons,AEP: Fired,Mixed,0.0
Not stated AEP,Durham,Less lethal weapons,AEP: Not stated,Mixed,0.0
*Total Firearms,Durham,Firearms,Total: Firearms,Mixed,0.0
*Total Other,Durham,Other,Total: Other,Mixed,3.0
"Dog use, of which",Durham,Other,Total: Dog,Mixed,0.0
Dog deployed,Durham,Other,Dog: deployed,Mixed,0.0
Dog bite,Durham,Other,Dog: bite,Mixed,0.0
Not stated dog,Durham,Other,Dog: not stated,Mixed,0.0
Other / improvised,Durham,Other,Other / improvised,Mixed,3.0
*Total Not reported,Durham,Not reported,Total: Not reported,Mixed,0.0
Tactical communication,Durham,Excluded: Tactical Communication,Tactical Communication,Mixed,12.0
*Total Tactics,Dyfed-Powys,Total,Total: all,Mixed,0.0
*Total Restraint,Dyfed-Powys,Restraint,Total: Restraint,Mixed,0.0
"Handcuffing, of which",Dyfed-Powys,Restraint,Total: Handcuffing,Mixed,0.0
Compliant handcuffing,Dyfed-Powys,Restraint,Handcuffing: compliant,Mixed,0.0
Non-compliant handcuffing,Dyfed-Powys,Restraint,Handcuffing: non-compliant,Mixed,0.0
Not stated handcuffing,Dyfed-Powys,Restraint,Handcuffing: not stated,Mixed,0.0
Limb / Body restraints,Dyfed-Powys,Restraint,Limb / body restraints,Mixed,0.0
Ground restraint,Dyfed-Powys,Restraint,Ground restraint,Mixed,0.0
*Total Unarmed skills,Dyfed-Powys,Unarmed skills,Total: unarmed skills,Mixed,0.0
*Total Other equipment,Dyfed-Powys,Other equipment,Total: Other equipment,Mixed,0.0
"Baton, of which",Dyfed-Powys,Other equipment,Total: Baton,Mixed,0.0
Baton drawn,Dyfed-Powys,Other equipment,Baton: drawn,Mixed,0.0
Baton used,Dyfed-Powys,Other equipment,Baton: used,Mixed,0.0
Not stated baton,Dyfed-Powys,Other equipment,Baton: not stated,Mixed,0.0
"Irritant spray, of which",Dyfed-Powys,Other equipment,Total: Irritant spray,Mixed,0.0
Irritant spray - drawn,Dyfed-Powys,Other equipment,Irritant spray: drawn,Mixed,0.0
Irritant spray - used,Dyfed-Powys,Other equipment,Irritant spray: used,Mixed,0.0
Not stated irritant spray,Dyfed-Powys,Other equipment,Irritant spray: not stated,Mixed,0.0
Spit and bite guard,Dyfed-Powys,Other equipment,Spit and bite guard,Mixed,0.0
Shield,Dyfed-Powys,Other equipment,Shield,Mixed,0.0
*Total Less lethal weapons,Dyfed-Powys,Less lethal weapons,Total: Less lethal weapons,Mixed,0.0
CED,Dyfed-Powys,Less lethal weapons,CED,Mixed,0.0
"AEP, of which",Dyfed-Powys,Less lethal weapons,Total: AEP,Mixed,0.0
AEP aimed,Dyfed-Powys,Less lethal weapons,AEP: Aimed,Mixed,0.0
AEP fired,Dyfed-Powys,Less lethal weapons,AEP: Fired,Mixed,0.0
Not stated AEP,Dyfed-Powys,Less lethal weapons,AEP: Not stated,Mixed,0.0
*Total Firearms,Dyfed-Powys,Firearms,Total: Firearms,Mixed,0.0
*Total Other,Dyfed-Powys,Other,Total: Other,Mixed,0.0
"Dog use, of which",Dyfed-Powys,Other,Total: Dog,Mixed,0.0
Dog deployed,Dyfed-Powys,Other,Dog: deployed,Mixed,0.0
Dog bite,Dyfed-Powys,Other,Dog: bite,Mixed,0.0
Not stated dog,Dyfed-Powys,Other,Dog: not stated,Mixed,0.0
Other / improvised,Dyfed-Powys,Other,Other / improvised,Mixed,0.0
*Total Not reported,Dyfed-Powys,Not reported,Total: Not reported,Mixed,0.0
Tactical communication,Dyfed-Powys,Excluded: Tactical Communication,Tactical Communication,Mixed,0.0
*Total Tactics,Essex,Total,Total: all,Mixed,445.0
*Total Restraint,Essex,Restraint,Total: Restraint,Mixed,298.0
"Handcuffing, of which",Essex,Restraint,Total: Handcuffing,Mixed,192.0
Compliant handcuffing,Essex,Restraint,Handcuffing: compliant,Mixed,108.0
Non-compliant handcuffing,Essex,Restraint,Handcuffing: non-compliant,Mixed,84.0
Not stated handcuffing,Essex,Restraint,Handcuffing: not stated,Mixed,0.0
Limb / Body restraints,Essex,Restraint,Limb / body restraints,Mixed,24.0
Ground restraint,Essex,Restraint,Ground restraint,Mixed,82.0
*Total Unarmed skills,Essex,Unarmed skills,Total: unarmed skills,Mixed,91.0
*Total Other equipment,Essex,Other equipment,Total: Other equipment,Mixed,11.0
"Baton, of which",Essex,Other equipment,Total: Baton,Mixed,5.0
Baton drawn,Essex,Other equipment,Baton: drawn,Mixed,4.0
Baton used,Essex,Other equipment,Baton: used,Mixed,1.0
Not stated baton,Essex,Other equipment,Baton: not stated,Mixed,0.0
"Irritant spray, of which",Essex,Other equipment,Total: Irritant spray,Mixed,4.0
Irritant spray - drawn,Essex,Other equipment,Irritant spray: drawn,Mixed,3.0
Irritant spray - used,Essex,Other equipment,Irritant spray: used,Mixed,1.0
Not stated irritant spray,Essex,Other equipment,Irritant spray: not stated,Mixed,0.0
Spit and bite guard,Essex,Other equipment,Spit and bite guard,Mixed,2.0
Shield,Essex,Other equipment,Shield,Mixed,0.0
*Total Less lethal weapons,Essex,Less lethal weapons,Total: Less lethal weapons,Mixed,13.0
CED,Essex,Less lethal weapons,CED,Mixed,13.0
"AEP, of which",Essex,Less lethal weapons,Total: AEP,Mixed,0.0
AEP aimed,Essex,Less lethal weapons,AEP: Aimed,Mixed,0.0
AEP fired,Essex,Less lethal weapons,AEP: Fired,Mixed,0.0
Not stated AEP,Essex,Less lethal weapons,AEP: Not stated,Mixed,0.0
*Total Firearms,Essex,Firearms,Total: Firearms,Mixed,6.0
*Total Other,Essex,Other,Total: Other,Mixed,26.0
"Dog use, of which",Essex,Other,Total: Dog,Mixed,0.0
Dog deployed,Essex,Other,Dog: deployed,Mixed,0.0
Dog bite,Essex,Other,Dog: bite,Mixed,0.0
Not stated dog,Essex,Other,Dog: not stated,Mixed,0.0
Other / improvised,Essex,Other,Other / improvised,Mixed,26.0
*Total Not reported,Essex,Not reported,Total: Not reported,Mixed,0.0
Tactical communication,Essex,Excluded: Tactical Communication,Tactical Communication,Mixed,112.0
*Total Tactics,Gloucestershire,Total,Total: all,Mixed,65.0
*Total Restraint,Gloucestershire,Restraint,Total: Restraint,Mixed,42.0
"Handcuffing, of which",Gloucestershire,Restraint,Total: Handcuffing,Mixed,29.0
Compliant handcuffing,Gloucestershire,Restraint,Handcuffing: compliant,Mixed,17.0
Non-compliant handcuffing,Gloucestershire,Restraint,Handcuffing: non-compliant,Mixed,12.0
Not stated handcuffing,Gloucestershire,Restraint,Handcuffing: not stated,Mixed,0.0
Limb / Body restraints,Gloucestershire,Restraint,Limb / body restraints,Mixed,3.0
Ground restraint,Gloucestershire,Restraint,Ground restraint,Mixed,10.0
*Total Unarmed skills,Gloucestershire,Unarmed skills,Total: unarmed skills,Mixed,13.0
*Total Other equipment,Gloucestershire,Other equipment,Total: Other equipment,Mixed,3.0
"Baton, of which",Gloucestershire,Other equipment,Total: Baton,Mixed,2.0
Baton drawn,Gloucestershire,Other equipment,Baton: drawn,Mixed,1.0
Baton used,Gloucestershire,Other equipment,Baton: used,Mixed,1.0
Not stated baton,Gloucestershire,Other equipment,Baton: not stated,Mixed,0.0
"Irritant spray, of which",Gloucestershire,Other equipment,Total: Irritant spray,Mixed,1.0
Irritant spray - drawn,Gloucestershire,Other equipment,Irritant spray: drawn,Mixed,0.0
Irritant spray - used,Gloucestershire,Other equipment,Irritant spray: used,Mixed,1.0
Not stated irritant spray,Gloucestershire,Other equipment,Irritant spray: not stated,Mixed,0.0
Spit and bite guard,Gloucestershire,Other equipment,Spit and bite guard,Mixed,0.0
Shield,Gloucestershire,Other equipment,Shield,Mixed,0.0
*Total Less lethal weapons,Gloucestershire,Less lethal weapons,Total: Less lethal weapons,Mixed,7.0
CED,Gloucestershire,Less lethal weapons,CED,Mixed,6.0
"AEP, of which",Gloucestershire,Less lethal weapons,Total: AEP,Mixed,1.0
AEP aimed,Gloucestershire,Less lethal weapons,AEP: Aimed,Mixed,1.0
AEP fired,Gloucestershire,Less lethal weapons,AEP: Fired,Mixed,0.0
Not stated AEP,Gloucestershire,Less lethal weapons,AEP: Not stated,Mixed,0.0
*Total Firearms,Gloucestershire,Firearms,Total: Firearms,Mixed,0.0
*Total Other,Gloucestershire,Other,Total: Other,Mixed,0.0
"Dog use, of which",Gloucestershire,Other,Total: Dog,Mixed,0.0
Dog deployed,Gloucestershire,Other,Dog: deployed,Mixed,0.0
Dog bite,Gloucestershire,Other,Dog: bite,Mixed,0.0
Not stated dog,Gloucestershire,Other,Dog: not stated,Mixed,0.0
Other / improvised,Gloucestershire,Other,Other / improvised,Mixed,0.0
*Total Not reported,Gloucestershire,Not reported,Total: Not reported,Mixed,0.0
Tactical communication,Gloucestershire,Excluded: Tactical Communication,Tactical Communication,Mixed,28.0
*Total Tactics,Greater Manchester,Total,Total: all,Mixed,441.0
*Total Restraint,Greater Manchester,Restraint,Total: Restraint,Mixed,285.0
"Handcuffing, of which",Greater Manchester,Restraint,Total: Handcuffing,Mixed,142.0
Compliant handcuffing,Greater Manchester,Restraint,Handcuffing: compliant,Mixed,66.0
Non-compliant handcuffing,Greater Manchester,Restraint,Handcuffing: non-compliant,Mixed,76.0
Not stated handcuffing,Greater Manchester,Restraint,Handcuffing: not stated,Mixed,0.0
Limb / Body restraints,Greater Manchester,Restraint,Limb / body restraints,Mixed,70.0
Ground restraint,Greater Manchester,Restraint,Ground restraint,Mixed,73.0
*Total Unarmed skills,Greater Manchester,Unarmed skills,Total: unarmed skills,Mixed,76.0
*Total Other equipment,Greater Manchester,Other equipment,Total: Other equipment,Mixed,21.0
"Baton, of which",Greater Manchester,Other equipment,Total: Baton,Mixed,8.0
Baton drawn,Greater Manchester,Other equipment,Baton: drawn,Mixed,5.0
Baton used,Greater Manchester,Other equipment,Baton: used,Mixed,3.0
Not stated baton,Greater Manchester,Other equipment,Baton: not stated,Mixed,0.0
"Irritant spray, of which",Greater Manchester,Other equipment,Total: Irritant spray,Mixed,9.0
Irritant spray - drawn,Greater Manchester,Other equipment,Irritant spray: drawn,Mixed,4.0
Irritant spray - used,Greater Manchester,Other equipment,Irritant spray: used,Mixed,5.0
Not stated irritant spray,Greater Manchester,Other equipment,Irritant spray: not stated,Mixed,0.0
Spit and bite guard,Greater Manchester,Other equipment,Spit and bite guard,Mixed,0.0
Shield,Greater Manchester,Other equipment,Shield,Mixed,4.0
*Total Less lethal weapons,Greater Manchester,Less lethal weapons,Total: Less lethal weapons,Mixed,48.0
CED,Greater Manchester,Less lethal weapons,CED,Mixed,48.0
"AEP, of which",Greater Manchester,Less lethal weapons,Total: AEP,Mixed,0.0
AEP aimed,Greater Manchester,Less lethal weapons,AEP: Aimed,Mixed,0.0
AEP fired,Greater Manchester,Less lethal weapons,AEP: Fired,Mixed,0.0
Not stated AEP,Greater Manchester,Less lethal weapons,AEP: Not stated,Mixed,0.0
*Total Firearms,Greater Manchester,Firearms,Total: Firearms,Mixed,5.0
*Total Other,Greater Manchester,Other,Total: Other,Mixed,6.0
"Dog use, of which",Greater Manchester,Other,Total: Dog,Mixed,2.0
Dog deployed,Greater Manchester,Other,Dog: deployed,Mixed,1.0
Dog bite,Greater Manchester,Other,Dog: bite,Mixed,1.0
Not stated dog,Greater Manchester,Other,Dog: not stated,Mixed,0.0
Other / improvised,Greater Manchester,Other,Other / improvised,Mixed,4.0
*Total Not reported,Greater Manchester,Not reported,Total: Not reported,Mixed,1.0
Tactical communication,Greater Manchester,Excluded: Tactical Communication,Tactical Communication,Mixed,180.0
*Total Tactics,Gwent,Total,Total: all,Mixed,186.0
*Total Restraint,Gwent,Restraint,Total: Restraint,Mixed,125.0
"Handcuffing, of which",Gwent,Restraint,Total: Handcuffing,Mixed,105.0
Compliant handcuffing,Gwent,Restraint,Handcuffing: compliant,Mixed,67.0
Non-compliant handcuffing,Gwent,Restraint,Handcuffing: non-compliant,Mixed,38.0
Not stated handcuffing,Gwent,Restraint,Handcuffing: not stated,Mixed,0.0
Limb / Body restraints,Gwent,Restraint,Limb / body restraints,Mixed,0.0
Ground restraint,Gwent,Restraint,Ground restraint,Mixed,20.0
*Total Unarmed skills,Gwent,Unarmed skills,Total: unarmed skills,Mixed,43.0
*Total Other equipment,Gwent,Other equipment,Total: Other equipment,Mixed,11.0
"Baton, of which",Gwent,Other equipment,Total: Baton,Mixed,1.0
Baton drawn,Gwent,Other equipment,Baton: drawn,Mixed,1.0
Baton used,Gwent,Other equipment,Baton: used,Mixed,0.0
Not stated baton,Gwent,Other equipment,Baton: not stated,Mixed,0.0
"Irritant spray, of which",Gwent,Other equipment,Total: Irritant spray,Mixed,6.0
Irritant spray - drawn,Gwent,Other equipment,Irritant spray: drawn,Mixed,2.0
Irritant spray - used,Gwent,Other equipment,Irritant spray: used,Mixed,4.0
Not stated irritant spray,Gwent,Other equipment,Irritant spray: not stated,Mixed,0.0
Spit and bite guard,Gwent,Other equipment,Spit and bite guard,Mixed,4.0
Shield,Gwent,Other equipment,Shield,Mixed,0.0
*Total Less lethal weapons,Gwent,Less lethal weapons,Total: Less lethal weapons,Mixed,5.0
CED,Gwent,Less lethal weapons,CED,Mixed,5.0
"AEP, of which",Gwent,Less lethal weapons,Total: AEP,Mixed,0.0
AEP aimed,Gwent,Less lethal weapons,AEP: Aimed,Mixed,0.0
AEP fired,Gwent,Less lethal weapons,AEP: Fired,Mixed,0.0
Not stated AEP,Gwent,Less lethal weapons,AEP: Not stated,Mixed,0.0
*Total Firearms,Gwent,Firearms,Total: Firearms,Mixed,0.0
*Total Other,Gwent,Other,Total: Other,Mixed,2.0
"Dog use, of which",Gwent,Other,Total: Dog,Mixed,0.0
Dog deployed,Gwent,Other,Dog: deployed,Mixed,0.0
Dog bite,Gwent,Other,Dog: bite,Mixed,0.0
Not stated dog,Gwent,Other,Dog: not stated,Mixed,0.0
Other / improvised,Gwent,Other,Other / improvised,Mixed,2.0
*Total Not reported,Gwent,Not reported,Total: Not reported,Mixed,8.0
Tactical communication,Gwent,Excluded: Tactical Communication,Tactical Communication,Mixed,36.0
*Total Tactics,Hampshire,Total,Total: all,Mixed,139.0
*Total Restraint,Hampshire,Restraint,Total: Restraint,Mixed,78.0
"Handcuffing, of which",Hampshire,Restraint,Total: Handcuffing,Mixed,46.0
Compliant handcuffing,Hampshire,Restraint,Handcuffing: compliant,Mixed,14.0
Non-compliant handcuffing,Hampshire,Restraint,Handcuffing: non-compliant,Mixed,32.0
Not stated handcuffing,Hampshire,Restraint,Handcuffing: not stated,Mixed,0.0
Limb / Body restraints,Hampshire,Restraint,Limb / body restraints,Mixed,4.0
Ground restraint,Hampshire,Restraint,Ground restraint,Mixed,28.0
*Total Unarmed skills,Hampshire,Unarmed skills,Total: unarmed skills,Mixed,38.0
*Total Other equipment,Hampshire,Other equipment,Total: Other equipment,Mixed,14.0
"Baton, of which",Hampshire,Other equipment,Total: Baton,Mixed,3.0
Baton drawn,Hampshire,Other equipment,Baton: drawn,Mixed,0.0
Baton used,Hampshire,Other equipment,Baton: used,Mixed,3.0
Not stated baton,Hampshire,Other equipment,Baton: not stated,Mixed,0.0
"Irritant spray, of which",Hampshire,Other equipment,Total: Irritant spray,Mixed,6.0
Irritant spray - drawn,Hampshire,Other equipment,Irritant spray: drawn,Mixed,4.0
Irritant spray - used,Hampshire,Other equipment,Irritant spray: used,Mixed,2.0
Not stated irritant spray,Hampshire,Other equipment,Irritant spray: not stated,Mixed,0.0
Spit and bite guard,Hampshire,Other equipment,Spit and bite guard,Mixed,5.0
Shield,Hampshire,Other equipment,Shield,Mixed,0.0
*Total Less lethal weapons,Hampshire,Less lethal weapons,Total: Less lethal weapons,Mixed,3.0
CED,Hampshire,Less lethal weapons,CED,Mixed,3.0
"AEP, of which",Hampshire,Less lethal weapons,Total: AEP,Mixed,0.0
AEP aimed,Hampshire,Less lethal weapons,AEP: Aimed,Mixed,0.0
AEP fired,Hampshire,Less lethal weapons,AEP: Fired,Mixed,0.0
Not stated AEP,Hampshire,Less lethal weapons,AEP: Not stated,Mixed,0.0
*Total Firearms,Hampshire,Firearms,Total: Firearms,Mixed,1.0
*Total Other,Hampshire,Other,Total: Other,Mixed,5.0
"Dog use, of which",Hampshire,Other,Total: Dog,Mixed,1.0
Dog deployed,Hampshire,Other,Dog: deployed,Mixed,1.0
Dog bite,Hampshire,Other,Dog: bite,Mixed,0.0
Not stated dog,Hampshire,Other,Dog: not stated,Mixed,0.0
Other / improvised,Hampshire,Other,Other / improvised,Mixed,4.0
*Total Not reported,Hampshire,Not reported,Total: Not reported,Mixed,0.0
Tactical communication,Hampshire,Excluded: Tactical Communication,Tactical Communication,Mixed,58.0
*Total Tactics,Hertfordshire,Total,Total: all,Mixed,534.0
*Total Restraint,Hertfordshire,Restraint,Total: Restraint,Mixed,306.0
"Handcuffing, of which",Hertfordshire,Restraint,Total: Handcuffing,Mixed,229.0
Compliant handcuffing,Hertfordshire,Restraint,Handcuffing: compliant,Mixed,127.0
Non-compliant handcuffing,Hertfordshire,Restraint,Handcuffing: non-compliant,Mixed,102.0
Not stated handcuffing,Hertfordshire,Restraint,Handcuffing: not stated,Mixed,0.0
Limb / Body restraints,Hertfordshire,Restraint,Limb / body restraints,Mixed,23.0
Ground restraint,Hertfordshire,Restraint,Ground restraint,Mixed,54.0
*Total Unarmed skills,Hertfordshire,Unarmed skills,Total: unarmed skills,Mixed,163.0
