date,geography,Rural Urban,Ethnic Group: All categories: Ethnic group; measures: Value,Ethnic Group: White; measures: Value,Ethnic Group: White: English/Welsh/Scottish/Northern Irish/British; measures: Value,Ethnic Group: White: Irish; measures: Value,Ethnic Group: White: Gypsy or Irish Traveller; measures: Value,Ethnic Group: White: Other White; measures: Value,Ethnic Group: Mixed; measures: Value,Ethnic Group: Mixed/multiple ethnic group: White and Black Caribbean; measures: Value,Ethnic Group: Mixed/multiple ethnic group: White and Black African; measures: Value,Ethnic Group: Mixed/multiple ethnic group: White and Asian; measures: Value,Ethnic Group: Mixed/multiple ethnic group: Other Mixed; measures: Value,Ethnic Group: Asian; measures: Value,Ethnic Group: Asian/Asian British: Indian; measures: Value,Ethnic Group: Asian/Asian British: Pakistani; measures: Value,Ethnic Group: Asian/Asian British: Bangladeshi; measures: Value,Ethnic Group: Asian/Asian British: Chinese; measures: Value,Ethnic Group: Asian/Asian British: Other Asian; measures: Value,Ethnic Group: Black; measures: Value,Ethnic Group: Black/African/Caribbean/Black British: African; measures: Value,Ethnic Group: Black/African/Caribbean/Black British: Caribbean; measures: Value,Ethnic Group: Black/African/Caribbean/Black British: Other Black; measures: Value,Ethnic Group: Other; measures: Value,Ethnic Group: Other ethnic group: Arab; measures: Value,Ethnic Group: Other ethnic group: Any other ethnic group; measures: Value,LAD16NM,CSP16CD,CSP16NM,PFA16CD,PFA16NM,FID
2011,Harrow,Total,239056,100991,73826,7336,181,19648,9499,2344,1053,3417,2685,101808,63051,7797,1378,2629,26953,19708,8526,6812,4370,7050,3708,3342,Harrow,E22000200,Harrow,E23000001,Metropolitan,104
2011,Havering,Total,237232,207949,197615,2989,160,7185,4933,1970,712,1154,1097,11545,5017,1492,975,1459,2602,11481,7581,2885,1015,1324,311,1013,Havering,E22000201,Havering,E23000001,Metropolitan,107
2011,Hillingdon,Total,273936,166031,142916,5949,344,16822,10479,2719,1409,3602,2749,69253,36795,9200,2639,2889,17730,20082,11275,4615,4192,8091,2925,5166,Hillingdon,E22000202,Hillingdon,E23000001,Metropolitan,111
2011,Hounslow,Total,253957,130505,96264,4775,183,29283,10349,2273,1730,3390,2956,87257,48161,13676,2189,2405,20826,16813,10787,3381,2645,9033,3638,5395,Hounslow,E22000203,Hounslow,E23000001,Metropolitan,117
2011,Kingston upon Thames,Total,160060,119219,101015,2718,95,15391,6269,1238,700,2500,1831,26152,6325,3009,892,2883,13043,4021,2616,1027,378,4399,2439,1960,Kingston upon Thames,E22000206,Kingston upon Thames,E23000001,Metropolitan,133
2011,Merton,Total,199693,129606,96658,4417,216,28315,9334,2579,1279,2829,2647,36143,8106,7337,2216,2618,15866,20811,10442,8126,2243,3799,1413,2386,Merton,E22000209,Merton,E23000001,Metropolitan,149
2011,Redbridge,Total,278970,118646,96253,3900,140,18353,11456,3204,1692,3251,3309,116503,45660,31051,16011,3000,20781,24845,12357,9064,3424,7520,1551,5969,Redbridge,E22000211,Redbridge,E23000001,Metropolitan,160
2011,Richmond upon Thames,Total,186990,160725,133582,4766,95,22282,6780,1250,731,2857,1942,13607,5202,1163,867,1753,4622,2816,1643,840,333,3062,1172,1890,Richmond upon Thames,E22000212,Richmond upon Thames,E23000001,Metropolitan,164
2011,Sutton,Total,190146,149449,134854,3219,193,11183,7134,2298,838,2286,1712,22035,6454,2595,1183,2240,9563,9120,5471,2742,907,2408,976,1432,Sutton,E22000214,Sutton,E23000001,Metropolitan,174
2011,Waltham Forest,Total,258249,134799,92999,3959,369,37472,13766,4568,2403,2602,4193,54389,9134,26347,4632,2579,11697,44791,18815,18841,7135,10504,3776,6728,Waltham Forest,E22000216,Waltham Forest,E23000001,Metropolitan,186
